Number,Proper Name,Common Name,Status,Photo Credits,Errata,Sabine,Neches,Neches-Trinity,Trinity,Trinity-San Jacinto,San Jacinto,San Jacinto-Brazos
14,Amblema plicata,Threeridge,,Steve McMurray | Missouri Department of Conservation,,1,1,0,1,0,1,0
21,Arcidens confragosus,Rock Pocketbook,KS_T_MN_E_WI_T,Steve McMurray | Missouri Department of Conservation,The lateral teeth here are really a single flange.,1,1,0,1,0,1,0
22,Arcidens wheeleri,Ouachita Rock Pocketbook,E,Wesley J. Martin | ScienceApps  L3C, The lateral teeth here are really a single flange.,0,0,0,0,0,0,0
30,Cyclonaias necki,Guadalupe Orb,,Nathan A. Johnson | U.S. Geological Survey,,0,0,0,0,0,0,0
28,Cyclonaias nodulata,Wartyback,OK,John Harris | Arkansas State University Museum of Zoology,,1,1,0,0,0,0,0
29,Cyclonaias petrina,Texas Pimpleback,OK,Robert G. Howells | Texas Parks and Wildlife Department,,0,0,0,0,0,0,0
31,Cyclonaias pustulosa,Pimpleback,OK,John Harris | Arkansas State University Museum of Zoology,,1,1,0,1,0,1,0
36,Cyrtonaias tampicoensis,Tampico Pearlymussel,,Robert G. Howells | Texas Parks and Wildlife Department,,0,0,0,1,0,1,1
83,Fusconaia askewi,Texas Pigtoe,,,,1,1,0,0,0,0,0
85,Fusconaia chunii,Trinity Pigtoe,OK,Robert G. Howells | Texas Parks and Wildlife Department,Used to be askewi have one from Lyubov Burlakova Susan email April 3 2015 More Pictures,0,0,0,1,0,0,0
89,Fusconaia flava,Wabash Pigtoe,OK,Steve McMurray | Missouri Department of Conservation,,0,0,0,1,0,1,0
90,Fusconaia iheringi,Balcones Spike,,,,0,0,0,0,0,0,0
92,Fusconaia mitchelli,False Spike,OK,Robert G. Howells | Texas Parks and Wildlife Department,,0,0,0,0,0,0,0
95,Glebula rotundata,Round Pearlshell,OK,Robert G. Howells | Texas Parks and Wildlife Department,,1,1,1,1,1,1,1
103,Lampsilis bergmanni ,Guadalupe Fatmucket,,,,0,0,0,0,0,0,0
104,Lampsilis bracteata,Texas Fatmucket,OK,Robert G. Howells | Texas Parks and Wildlife Department,,0,0,0,0,0,0,0
